elapsed_s,board_uptime_s,decoded_frames,reconnects,read_errors,control_errors,captured,processed,encoded,rss_mb,fd_count,capture_fps,process_fps,encode_fps,inference_dropped,video_dropped,driver_sequence_gaps,inference_health,recording_state
1419.9689999999828,1433.273717451,28199,4,0,0,28654,20673,28653,58.3046875,47,20.30371988445068,14.502657060321914,19.336876080429217,7979,0,6,normal,completed
1424.9839999999967,1437.450392247,28300,4,0,0,28737,20731,28737,58.3046875,46,19.90954554951054,14.2211039639361,19.90954554951054,8004,0,6,normal,completed
1430.0,1442.681345669,28400,4,0,0,28842,20805,28841,58.3046875,46,20.30270423222535,13.535136154816898,19.335908792595568,8035,0,6,normal,completed
1435.0,1448.168249869,28501,4,0,0,28952,20888,28951,58.3046875,47,20.37889726264759,16.133293666262677,19.52977654337061,8062,0,6,normal,completed
1440.0309999999881,1452.368831039,28601,4,0,0,29036,20951,29035,58.3046875,46,20.552875432053558,14.947545768766222,19.618653821505667,8084,0,6,normal,completed
1445.0469999999914,1457.636738007,28701,4,0,0,29141,21028,29140,58.3046875,46,20.36553510205574,14.811298256040539,19.439828961053205,8112,0,6,normal,completed
1450.0629999999946,1462.970035587,28802,4,0,0,29248,21104,29247,58.3046875,46,20.74154217344485,13.827694782296566,19.753849688995096,8142,0,6,normal,completed
1455.0780000000086,1468.20549806,28902,4,0,0,29352,21179,29352,58.3046875,46,19.84037316287805,14.171695116341462,19.84037316287805,8172,0,6,normal,completed
1460.1089999999967,1473.422393328,29002,4,0,0,29457,21253,29456,58.3046875,47,19.872147786823852,14.194391276302753,19.872147786823852,8202,0,6,normal,completed
1465.125,1477.590553712,29103,4,0,0,29540,21312,29540,58.3046875,46,19.600580381025313,14.933775528400238,20.53394135155033,8227,0,6,normal,completed
1470.1559999999881,1482.796947192,29203,4,0,0,29644,21387,29644,58.3046875,46,19.3492067111133,14.511905033334974,20.316667046668965,8256,0,6,normal,completed
1475.1719999999914,1488.079392949,29304,4,0,0,29750,21461,29749,58.3046875,46,19.750961016631923,14.10782929759423,19.750961016631923,8287,0,6,normal,completed
1480.2030000000086,1493.304830314,29404,4,0,0,29854,21534,29854,58.3046875,46,19.377581858712514,13.56430730109876,20.34646095164814,8318,0,6,normal,completed
1485.2189999999828,1498.537135936,29505,4,0,0,29959,21608,29959,58.3046875,46,20.30221040924897,12.568035015249363,20.30221040924897,8349,0,6,normal,completed
1490.2339999999967,1502.762991269,29605,4,0,0,30044,21668,30043,58.3046875,46,20.77725813047189,14.166312361685378,19.83283730635953,8374,0,6,normal,completed
1495.25,1507.991768674,29705,4,0,0,30148,21742,30148,58.3046875,46,20.604607108908528,13.736404739272354,19.623435341817647,8405,0,6,normal,completed
1500.2660000000033,1513.223519578,29803,5,0,0,30253,21823,30253,58.3046875,46,20.4435883483061,15.576067312995125,20.4435883483061,8428,0,6,normal,completed
1505.2809999999881,1518.499365228,29847,5,0,0,30358,21899,30358,58.3046875,46,19.26400890767772,14.44800668075829,20.227209353061607,8458,0,6,normal,completed
1510.2969999999914,1522.717280648,29948,5,0,0,30443,21960,30442,58.3046875,47,20.158907193704593,14.399219424074708,19.19895923209961,8481,0,6,normal,completed
1515.3129999999946,1527.961643937,30049,5,0,0,30548,22034,30547,58.3046875,46,20.13982153578584,14.385586811275598,20.13982153578584,8512,0,6,normal,completed
1520.3280000000086,1533.225578423,30149,5,0,0,30653,22109,30653,58.3046875,46,19.883069994521843,14.202192853229889,20.829882851403838,8542,0,6,normal,completed
1525.3439999999828,1538.432650271,30249,5,0,0,30757,22184,30757,58.3046875,46,20.178257145009876,15.37391020572181,20.178257145009876,8572,0,6,normal,completed
1530.3589999999967,1543.681376471,30349,5,0,0,30861,22258,30860,58.3046875,46,19.747085553267386,14.105061109476704,19.747085553267386,8601,0,7,normal,completed
1535.375,1547.921757805,30449,5,0,0,30946,22318,30945,58.3046875,47,19.722314266732482,13.148209511154988,19.722314266732482,8626,0,7,normal,completed
1540.3910000000033,1553.12637,30549,5,0,0,31050,22393,31050,58.3046875,46,19.743821991686584,14.102729994061846,20.68400399129071,8655,0,7,normal,completed
1545.4059999999881,1558.413692837,30650,5,0,0,31156,22469,31155,58.3046875,47,20.637556734367166,14.071061409795796,19.699485973714115,8686,0,7,normal,completed
1550.4219999999914,1563.612731337,30750,5,0,0,31260,22542,31259,58.3046875,46,20.658420598915335,15.024305890120242,19.719401480782818,8716,0,7,normal,completed
1555.4379999999946,1567.814710976,30850,5,0,0,31344,22601,31343,58.3046875,46,19.843260073009308,14.17375719500665,19.843260073009308,8741,0,7,normal,completed
1560.4530000000086,1573.070323902,30951,5,0,0,31449,22684,31449,58.3046875,46,19.29635868574774,16.401904882885578,20.261176620035126,8763,0,7,normal,completed
1565.4839999999967,1578.353005424,31051,5,0,0,31555,22761,31554,58.3046875,46,20.773540552547853,14.163777649464445,19.829288709250225,8792,0,7,normal,completed
1570.5,1583.582211743,31151,5,0,0,31659,22836,31658,58.3046875,47,19.57885095391523,13.984893538510878,19.57885095391523,8822,0,7,normal,completed
1575.5160000000033,1588.764359184,31252,5,0,0,31763,22908,31762,58.3046875,46,20.457616381879372,14.612583129913837,19.483444173218448,8853,0,7,normal,completed
1580.5160000000033,1592.978269167,31352,5,0,0,31847,22968,31847,58.3046875,46,19.83406769850501,14.167191213217865,19.83406769850501,8877,0,7,normal,completed
1585.5469999999914,1598.236038004,31452,5,0,0,31952,23044,31952,58.3046875,46,19.686087227950082,14.061490877107204,20.623519953090565,8907,0,7,normal,completed
1590.5629999999946,1603.460776932,31553,5,0,0,32057,23118,32056,58.3046875,46,20.48480682164825,13.656537881098833,19.50933983014119,8936,0,7,normal,completed
1595.5780000000086,1608.789662449,31653,5,0,0,32163,23194,32163,58.3046875,46,19.869911472824747,14.450844707508907,20.773089267044053,8968,0,7,normal,completed
1600.5939999999828,1613.012349277,31753,5,0,0,32248,23254,32247,58.3046875,46,20.05635445936767,14.325967470976908,20.05635445936767,8992,0,7,normal,completed
1605.6089999999967,1618.285232563,31854,5,0,0,32353,23329,32353,58.3046875,46,19.768890040028218,14.120635742877298,20.710265756220036,9023,0,7,normal,completed
1610.6089999999967,1623.545287525,31954,5,0,0,32458,23403,32458,58.3046875,46,19.257270011796333,14.442952508847249,20.22013351238615,9053,0,7,normal,completed
1615.625,1628.840403144,32054,5,0,0,32564,23479,32564,58.3046875,46,19.884418729316558,14.203156235226112,19.884418729316558,9084,0,7,normal,completed
1620.625,1633.084237759,32154,5,0,0,32649,23547,32649,58.3046875,46,20.195078787229164,16.34839711347123,20.195078787229164,9101,0,7,normal,completed
1625.6410000000033,1638.352934782,32255,5,0,0,32755,23624,32754,58.3046875,46,20.347922579861603,14.798489148990258,20.347922579861603,9129,0,7,normal,completed
1630.6410000000033,1643.674153569,32354,5,0,0,32861,23699,32860,58.3046875,47,19.784656021893017,14.131897158495011,19.784656021893017,9160,0,7,normal,completed
1635.6559999999881,1648.89244469,32455,5,0,0,32965,23774,32965,58.3046875,46,20.012814510087985,14.294867507205703,20.012814510087985,9190,0,7,normal,completed
1640.6719999999914,1653.063595276,32555,5,0,0,33049,23833,33048,58.3046875,47,20.19286282128935,14.423473443778105,19.231297925037474,9214,0,7,normal,completed
1645.6879999999946,1658.372944343,32655,5,0,0,33155,23910,33155,58.3046875,46,20.374089509491146,14.817519643266289,20.374089509491146,9244,0,7,normal,completed
1650.6879999999946,1663.601787712,32755,5,0,0,33260,23984,33259,58.3046875,46,20.16570075648803,14.404071968920022,20.16570075648803,9274,0,7,normal,completed
1655.7030000000086,1668.877028034,32855,5,0,0,33365,24060,33365,58.3046875,46,20.3367471179416,14.790361540321163,20.3367471179416,9304,0,7,normal,completed
1660.7189999999828,1674.081021927,32956,5,0,0,33469,24135,33469,58.3046875,46,19.30249196416268,14.47686897312201,20.267616562370815,9333,0,7,normal,completed
1665.7339999999967,1678.245700626,33056,5,0,0,33553,24195,33552,58.3046875,46,20.373871248240384,14.55276517731456,19.40368690308608,9356,0,7,normal,completed
1670.75,1683.532393817,33157,5,0,0,33658,24270,33658,58.3046875,46,20.111345102248595,14.36524650160614,20.111345102248595,9387,0,7,normal,completed
1675.7809999999881,1688.808024984,33257,5,0,0,33764,24345,33763,58.3046875,46,20.657010684735493,14.084325466865108,19.718055653611152,9416,0,7,normal,completed
1680.7809999999881,1694.082946923,33357,5,0,0,33869,24430,33869,58.3046875,46,19.90965921971209,16.117343177862168,19.90965921971209,9438,0,7,normal,completed
1685.8129999999946,1698.33230658,33458,5,0,0,33954,24489,33954,58.3046875,46,19.68087236782577,14.057765977018407,20.618056766293666,9464,0,7,normal,completed
1690.8280000000086,1703.576390368,33559,5,0,0,34059,24563,34059,58.3046875,46,20.052658606161874,13.368439070774583,20.052658606161874,9494,0,7,normal,completed
1695.8439999999828,1708.83018099,33659,5,0,0,34164,24639,34164,58.3046875,46,19.93963115252511,14.24259368037508,19.93963115252511,9524,0,7,normal,completed
1700.875,1714.119921196,33759,5,0,0,34270,24714,34270,58.3046875,46,19.81091242564653,14.150651732604665,20.754289207820175,9554,0,7,normal,completed
